reviewText,overall
"wow, the price has sky-rocketed since i bought this. i'm a nerf-nut, but have no idea why the price is what it is.

i bought it solely for the blaster. i wanted something more ergonomic to use with ghost squad & umbrella chronicles.

it serves its purpose well. my one complaint is that the grip is sized for a child. i can still get my big mitts around it, but i had hoped it would be sized more like the nerf maverick which has a very comfortably sized and sculpted grip.",4.0
"does not work on all xbox 360's... its a good game. i remember playing it a lot a long time ago, luckily a used copy is cheap, but useless if you own a 360, you need a original xbox to play this game",4.0
"what excitement had i to be able to pilot the ships of star trek, and to pick between the enterprise x-1, the enterprise ncc-1701, the enterprise ncc-1701a, the enterprise ncc-1701d, the reliant, the constitution, etcetera.

and indeed i was having fun, with the familiar sounds of people telling me things on board, and piloting the ship in to lock phasers on a target and attack.

but that's about where the fun ends.

the way this game is built feels and looks like something ten years older than it should be, even if the graphics are somewhat top-notch and nifty for 2006.  the menu is too simple to a degree that you cannot adjust many graphics options or controls.  even worse, you can't even see your controls.  and trial and error never seems to work in-game, unless you play through the dreadful tutorial which is overly slow and pointless, just to teach you the most basic functions one at a time, four or five things over a ten minute period, just to learn to accelerate or decelerate without the mouse.

i got so bored with the tutorial, i gave up after exploring the first planet.  then i skirmished.

i had absolutely no idea what was happening or why.

as the federation, i could pick four ships maximum in my skirmish fleet, but i could only command one at a time.  no idea if i can have the other ships slaved to mine, or if they have independent ai.  i'm pretty sure they can't fight on their own, because every time i played, my other ships did absolutely nothing until i scrolled to them and manually moved them about.

i don't even know exactly what to press to attack!  i'm pretty sure it's just to left-click, but i've had so many instances where i am literally meters away from an enemy ship, smashing the left-click mouse button feverishly, and seeing absolutely nothing happen, only to suddenly have my phasers open up on a completely different target.

the mere idea of playing with star trek ships was a worthy idea worth making a game out of.  but they just seemingly intentionally sabotaged it with nonexistent control help and stilted, clumsy movement, completely arbitrary actions, and a limit to only four sides: federation, klingon, romulan, borg.",1.0
good,3.0
love this game.,5.0
excellent game much better than ac3,5.0
"i didn't really have a problem with the game.  then again, i did like army of 2, so take from that what you will.  i will tell you the main reason why i did dig ao2, is the 2 player co-op.  i never played the solo story, which i am going to assume much of the fuss originated.  me and my brother usually kick the snot out of co-op games together, such as gow, ao2, and this game.

what i really dig about this game is you get to create your dude, fully customize him, etc.  you get to pick your weapons, much like ao2 but without the intricate customization.  furthermore, it even plays like gow and ao2, but without productive blind-fire, unless you are blind-firing close-quarters with a shotgun.  unlike ao2, using silencers and whatnot is actually useful.  me and my brother by the end of ao2 just went ahead with the pimped weapons and dropped our silencers because it made little difference in the gameplay.  having the option to go either way was good.  i'm more of the silent type anyhow.

i don't know what to say other than i really enjoyed the game.  the thermal vision somewhat skews the depth perception, almost like looking through a funky lens and... maybe as it should be, depending on how close the enemy is will determine if he picks up on the thermal scan or not.

really, the only big beef i have with vegas 2 was ""faux pause.""  i'm really surprised nobody mentioned it, but all pause does is bring up the menu while the game still runs in the background.  i considered that the utmost of pathetic, you pause and get up for a second, coming back to find you died.  it's sad to think you have to be in some kind of ""dead zone"" to pause the game.  this is where my rating comes from, since there is no kind of ""breaking from the game"" without the risk of a game over.

other than that, i digged it.",3.0
"the ps2 usb headset is amazing. i play madden 2005 online all the time, and the headset just makes everything so much fun. you can meet new people and make new friends from all over the world, or you can choose a different route and just trash talk a lot which is just as fun too...it plugs straight into one of the two usb ports on the front of your ps2, and the wire is definitely the perfect length. its long enough to be able to reach good distances, without having a huge mess full of wires all over the floor.  you can mute your opponents so they can no longer hear you but you can hear them. all in all, the headset definitely gets the job done, and for just 30 bucks, its definitely worth it! highly recommended! (also look into the wireless controller from logitech, its great...read my review)",5.0
perfect,5.0
this volume is really weak. spend a few extra dollars and get a better one. i have to play with low volume in order to hear out of this.,1.0
its a game,5.0
"i had imported demon's souls in april, and finished it 3 times since then. i have a long review below but if you want a few sentences here it is:

the game has an excellent atmosphere, great character customization, enjoyable combat, some unique online elements, but very little story and minimal npc interaction. it is also very unforgiving, but it is strangely addictive if you don't get frustrated easily. it takes about 40 hours in your first play through. it's not because the game is huge... it's because you'll die a lot and repeat a lot, which results in playing very cautiously (which also adds to the atmosphere).

***review***

demon's souls is an action rpg game with some unique online elements. i loved the game but i can also see why some people (even rpg lovers) might hate it. although i gave it 5 stars, i cannot say the game is for everyone. just read the paragraph at the end where i explain some game mechanics, and if it sounds frustrating to you then might want to try the game first before buying.
for me 3 things are very important for an rpg. a good story and well-developed characters, deep character customization, tactical and fun combat.

story

in ds, the people in different realms/worlds are possessed by demonic souls and you are to get rid of them. when you kill them you collect their souls and get more powerful and eventually fight against the final demon. that's basically it. the game has very little story and minimal amount of non player characters (npcs). there are about 15-20 npcs in total (including the merchants and blacksmiths), and most of them are located in a hub called nexus. furthermore, you can talk to them but there are no dialogue trees. they'll say 2-3 new sentences after each time you kill a demon boss, giving you some background about the setting. sometimes they'll initiate a sidequest, by asking you to find/do something. that's all.

if you are expecting something like mass effect or jrpgs in terms of story or dialogue this is not it. however, the game has a very dark and immersive atmosphere. it just sucks you in and makes up for its lack of story. also, sometimes new characters/enemies appear depending on world tendency (world tendency is something like an alignment that can change toward black or white), which provides replay value.

in sum, unlike most other rpgs, this is not a game that you play for the story. there is minimal story and dialogue, but the game has an excellent atmosphere which gives you the feeling of being alone and overwhelmed.

character customization

character customization is probably the most important aspect of an rpg and this is where the game shines. you start the game with a certain class you picked, but it doesn't restrict you. you can develop your stats in anyway you like and completely turn it into something else (kind of like oblivion). for example, weapons/armors have different stats requirements, but they are not restricted to classes. as long as your character meets the stats requirement you can use it. so you can mix and mash classes anyway you like. there are 8 different attributes, and when you level up you can raise one of those attributes by one point (there is room for up to 99 for each attribute).

weapon upgrades are done by using the ores you find. you can do regular upgrades (e.g. long sword +2) or you can change it into a different weapon (e.g. dragon long sword) depending on the ores you found. there are several different types of ores that opens a different upgrade branch. there are also some special upgrades, if you choose to use a demon's soul that you obtained from a boss, which will give you a unique weapon.

combat

the customization also affects your gameplay. for instance, you can wield double swords, sword and shield, sword and crossbow, sword and a wand, two shields (if you want to be fancy) etc. moreover, any sword can be wielded two handed or one handed. of course, if you choose to wield a two handed sword with one hand, you character becomes clumsy. if you choose to wield a one handed sword with two hands, then you make stronger attacks with different animations.

the combat is in real time and it is like an action game. in the controller, l1-l2 is assigned to the left hand, and r1-r2 is assigned to the right hand. l1 is used for guarding, l2 is either for parry (when wielding a shield) or attacking (weapon on left hand)). on the other hand, r1 is regular attack, and r2 is strong attack. you can also roll, run, but you cannot jump. so you end up having different combat gameplay and tactics depending on what you choose to equip.

online gameplay

if your ps3 is connected to the internet, you'll automatically play the game online. that lets you do different things. first, you'll see some messages left by other players. they can provide some clues, warnings etc. you can also leave messages but you can only create them by combining preset words and phrases. you cannot type whatever you want. and if someone finds your message helpful and rates it, then your health replenishes. second, you'll see pools of blood and if you touch them it will show you a ghost of some other player and how he/she died. it's just another clue to help you in the game.

third, and the most important one, is playing with/against others. if you are in body form, you'll see blue signs on the ground left by other players. by touching those signs you can summon up to two more people to your game and they'll fight along with you in your game helping you out. on the other hand, when you are in body form some other player can invade your game and try to kill you. if you are in soul form, then you can put a blue sign on the ground in order to be summoned by others or you can use an item to invade another player's game.  however, you cannot just invite your friends to your game. if you and your friends are on different servers (which you have no control over) you won't see the signs they left and will not be able to summon them. if you happen to be on the same server, you can arrange a location in the game to put the sign (via xmb message) and then summon the other person.

conclusion

in sum, demon's souls is one of the best games on ps3. it has a great atmosphere and addictive gameplay that makes you come back, even after you died for the tenth time in the same boss battle. unfortunately it is not a game for the impatient. just take a look at the cover art (the regular cover art which happens to be the deluxe edition cover in us release) of the game. you see a lone, battered knight, who is about to give up. that's demon's souls for you. if you are willing to take the challenge, victory will be very satisfying.

***about the difficulty and potential frustration***

first of all, the game is very unforgiving. even regular enemies can kill you with 1-2 blows, and they will kill you many times. however that's not the main issue. the real difficulty comes from not being able to save in the middle of a stage/map. the stages don't have checkpoints either. also dying is very costly. when you die, first you will drop your souls at the location you died (you gain souls by killing enemies, and souls are used as both experience points to improve your stats and also as money). then you will lose your body (which means losing half of your life bar, making the game even harder) and you will respawn in soul form at the start of the stage. however all the enemies will also respawn. furthermore, if you die again before reaching the location you died, you will lose all the souls you have dropped previously for good. that means no experience/no money from all that playing. also reaching your corpse does not give your body back, it only gives back your collected souls. you can gain your body (half of your life bar) if you beat a boss, or invade another player's game and kill him/her, or use a special item.

in brief, you will be playing the same stage from the beginning over and over again, until you beat the boss at the end of the stage. in a lot of cases, you will not gain any experience/level during this process, because you'll die a second time before reaching your corpse. however, the stages are not very big. it generally takes about 5 to 10 minutes to get to the boss if you know the way and if you don't die. a new respawn point appears at the end of the stage, after a boss is defeated. (the game has 5 worlds and each world has 4 stages/bosses). so, after you beat a boss you can spawn from that location if you want.

still, a lot of people would probably hate this no save/checkpoint mechanic combined with the games unforgiving difficulty. it's like 80s arcade games which takes you back to the beginning of the stage when you die.",5.0
i love it and well getting it again and also well tell others as well the best in the world,5.0
